887,9,971,9,971,48,887,48
925,153,950,153,950,196,925,196
649,154,742,150,744,203,651,207
770,156,906,152,908,200,772,204
775,214,863,214,863,261,775,261
854,488,881,488,881,512,854,512
777,490,845,490,845,515,777,515
686,504,748,504,748,530,686,530
632,506,670,506,670,526,632,526
777,513,845,513,845,539,777,539
805,539,845,539,845,560,805,560
789,540,805,540,805,558,789,558
307,546,412,543,413,567,308,570
632,551,681,551,681,577,632,577
694,553,723,553,723,575,694,575
852,557,890,557,890,631,852,631
791,562,804,562,804,582,791,582
804,560,845,560,845,586,804,586
776,586,847,583,848,607,777,610
633,600,674,597,675,623,635,626
686,600,714,600,714,620,686,620
818,607,847,607,847,631,818,631
778,609,824,609,824,632,778,632
869,631,885,631,885,649,869,649
843,631,869,631,869,650,843,650
789,632,834,632,834,654,789,654
665,645,705,645,705,670,665,670
634,647,663,647,663,672,634,672
838,652,865,652,865,677,838,677
861,652,890,652,890,676,861,676
777,654,834,654,834,679,777,679
790,849,908,847,909,889,791,891
818,890,867,890,867,928,818,928
816,930,887,930,887,971,816,971
